,Country_ID,Country,Total Population,Region,A/V & Photo Adj,Education Adj,Jewellery & Travel Goods Adj,Reading Materials Adj,Recreation - Other Adj,Garden & Pets Adj,Personal Care Adj,Recreational & Cultural Services Adj,Disposable Income Adj,Action Figure Toys Adj,Arts & Crafts Toys Adj,Baby Toys Adj,Construction Toys Adj,Dolls Adj,Dress-Up & Role Play Adj,Games & Puzzles Adj,Model Vehicles Adj,Other Toys & Games Adj,Outdoor Toys & Sports Adj,Plush Toys Adj,Pre-School Toys Adj,Remote Control Toys Adj,Ride-On Toy Vehicles Adj,Educational Toys Adj,Video Games Hardware Adj,Video Games Software Adj,Total Toys,BinIncome
4,5,Austria,8932.7,Western Europe,55.9321369798605,271.2505737347051,227.15696262048425,301.32266839813263,25.66413290494475,730.8960336740291,746.8206701221354,9.529593515958219,3.3962295834406167,,,,,,,,,,,,,,,,,,,2-4K
5,6,Azerbaijan,10119.1,Asia Pacific,57.811465446531805,130.24873753594687,55.22559647926529,22.910469639921864,2.7670445000049413,31.788070744104385,157.65565448837677,107.76650097340672,8.787919215477002,,,,,,,,,,,,,,,,,,,6-9K
6,7,Bahrain,1504.4,Middle East and Africa,91.7309226269609,694.6290880085083,140.58760967827703,248.93645307099175,14.623770273863332,53.842063281042265,817.2693432597713,118.65195426748204,24.648032438181332,,,,,,,,,,,,,,,,,,,20-25K
7,8,Bangladesh,169356.3,Asia Pacific,22.818217007760836,174.8005935474871,70.79371499743516,1.6377588544046715,0.06259364978343063,0.26402228011587064,59.64948291424907,0.30747203997740363,4.348947814116298,,,,,,,,,,,,,,,,,,,4-6K
8,9,Belarus,9349.6,Eastern Europe,137.34396242738845,136.1555574570035,17.576509511993383,58.992422729908824,4.456518638943555,73.89502105853606,314.47572326326497,16.566365287166175,11.233766388104542,,,,,,,,,,,,,,,,,,,9-12K
9,10,Belgium,11521.2,Western Europe,317.52334826233374,95.64975870569037,149.9192792417456,294.2401833142381,90.4094191577266,63.01426934694302,479.2903516994757,721.7347151338402,32.8383545116828,,,,,,,,,,,,,,,,,,,30-40K
10,11,Bolivia,11964.2,Latin America,24.753334627793425,301.29951792077134,19.439404479774918,28.189869006639036,3.889809727224682,12.656347848002952,59.22154941730007,30.353374747483837,5.681041388861385,,,,,,,,,,,,,,,,,,,4-6K
11,12,Bosnia and Herzegovina,3462.6,Eastern Europe,97.3257090047941,152.65159954122007,120.75979239382463,58.420179716315566,1.3614872391514221,156.57103250241357,56.19229150679506,210.41166423249254,10.98864602156926,,,,,,,,,,,,,,,,,,,9-12K
12,13,Brazil,214306.9,Latin America,57.701735221777746,44.73845685789865,25.833045972854816,43.65683046136173,1.2036943280874297,56.373733183579255,327.234447420965,40.53868540863593,10.750820435552939,3.5847655861757137,0.20699286863838728,2.9744259284232095,1.042616919940515,6.615185978612914,0.19467408655530924,2.842465641563571,3.028367262090021,0.18963458479405004,0.7284879768220249,0.392147896311318,1.625705938539543,0.43582357824223117,0.6256448112496611,0.14838532963707654,2.9443755660690347,18.231797482955518,45.811497436620094,9-12K
13,14,Bulgaria,6916.5,Eastern Europe,60.3319184971755,183.9906641468125,125.45569084280861,120.498600654749,47.6087203478225,275.80010533816653,300.77144716051686,454.95760655162087,15.821751298654359,,,,,,,,,,,,,,,,,,,15-20K
