Country_ID,Geography,Category,Data Type,Unit,Current Constant,2021
6,Azerbaijan,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,AZN million,Current Prices,335.3
6,Azerbaijan,Disposable Income,Socio-economic indicators,AZN million,Current Prices,53355.5
6,Azerbaijan,Total Population,Socio-economic indicators,0,-,10119.1
7,Bahrain,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,BHD million,Current Prices,27.6
7,Bahrain,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,BHD million,Current Prices,4.4
7,Bahrain,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,BHD million,Current Prices,16.2
7,Bahrain,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,BHD million,Current Prices,35.7
7,Bahrain,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,BHD million,Current Prices,74.9
7,Bahrain,Consumer Expenditure on Education,Socio-economic indicators,BHD million,Current Prices,209
7,Bahrain,Consumer Expenditure on Personal Care,Socio-economic indicators,BHD million,Current Prices,245.9
7,Bahrain,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,BHD million,Current Prices,42.3
7,Bahrain,Disposable Income,Socio-economic indicators,BHD million,Current Prices,7416.1
7,Bahrain,Total Population,Socio-economic indicators,0,-,1504.4
8,Bangladesh,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,BDT million,Current Prices,122888.2
8,Bangladesh,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,BDT million,Current Prices,337.1
8,Bangladesh,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,BDT million,Current Prices,1421.9
8,Bangladesh,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,BDT million,Current Prices,1655.9
8,Bangladesh,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,BDT million,Current Prices,8820.2
8,Bangladesh,Consumer Expenditure on Education,Socio-economic indicators,BDT million,Current Prices,941393.9
8,Bangladesh,Consumer Expenditure on Personal Care,Socio-economic indicators,BDT million,Current Prices,321244.1
